conversion_id,click_id,campaign_id,campaign_name,conversion_method,country,city,isp,goal_id,goal_name,txn_id,device_id,p1,p2,p3,p4,p5,click_device,status,created,sale_amount,currency,payout,click_ip,p6,p7,p8,p9,p10,os,source,click_to_conv_time,iet,conv_request_ip,region,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,type,landing_page,landing_page_id,note,referer,click_referrer,gaid,idfa,app_id,app_name,aid,cr_name,sl,conn,click_ua,lat,long,afimp,coupon,userId,dl,vta,osa,osc,pp,pcid,ss,aff_chain,esku,ecqu,epid,epn,epbrand,epcat,epscat,edis,epssn,enu,esn,paid_at,rlo,att,fbclid,cgeo,plc,dmg,publisher_id,browser,goalName,clickTime,sourceEnc,affUsername,publisher_manager,advertiser_manager,campaign_long_id,publisher_long_id,campCategory,external_offer_id,advertiser_name,advertiser_id,advertiser_long_id,postbackFired,campaign_app_name,approved_at,payout_in_campaign_currency,payout_in_user_currency,sale_amount_in_campaign_currency,sale_amount_in_user_currency,campaign_currency,created_date,created_time,Inventory,Partner,Email_id
65af7f1ab052894d6d12ec99,65af7f1ab052894d6d12ec98,4,Flipkart,csv_upload,XX,XX,XX,,Default,62926524,,,,,,,,rejected,10/1/2023 0:00,97,INR,3.6,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,Cancelled,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,,3.6,3.6,97,97,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
65af7f52b052894d6d12f383,65af7f52b052894d6d12f382,4,Flipkart,csv_upload,XX,XX,XX,,Default,63000348,,,,,,,,approved,10/1/2023 0:00,114,INR,2.7,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,1/24/2024 12:25,2.7,2.7,114,114,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
65af7f7ab052894d6d12f857,65af7f7ab052894d6d12f856,4,Flipkart,csv_upload,XX,XX,XX,,Default,63041403,,,,,,,,approved,10/1/2023 0:00,599,INR,27,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,1/24/2024 12:25,27,27,599,599,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
65af7f7ab052894d6d12f85a,65af7f7ab052894d6d12f859,4,Flipkart,csv_upload,XX,XX,XX,,Default,63041406,,,,,,,,approved,10/1/2023 0:00,49,INR,0,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,1/24/2024 12:25,0,0,49,49,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
65af7f8ab052894d6d12fa40,65af7f8ab052894d6d12fa3f,4,Flipkart,csv_upload,XX,XX,XX,,Default,63060377,,,,,,,,approved,10/1/2023 0:00,206,INR,9,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,1/24/2024 12:25,9,9,206,206,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
65af7f98b052894d6d12fbed,65af7f98b052894d6d12fbec,4,Flipkart,csv_upload,XX,XX,XX,,Default,63104817,,,,,,,,approved,10/1/2023 0:00,206,INR,9,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,1/24/2024 12:25,9,9,206,206,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
65af7f9ab052894d6d12fc2c,65af7f9ab052894d6d12fc2b,4,Flipkart,csv_upload,XX,XX,XX,,Default,63110709,,,,,,,,rejected,10/1/2023 0:00,99,INR,4.5,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,Cancelled,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,,4.5,4.5,99,99,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
65af7f9ab052894d6d12fc2f,65af7f9ab052894d6d12fc2e,4,Flipkart,csv_upload,XX,XX,XX,,Default,63110727,,,,,,,,rejected,10/1/2023 0:00,99,INR,4.5,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,Cancelled,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,,4.5,4.5,99,99,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
65af7f9ab052894d6d12fc32,65af7f9ab052894d6d12fc31,4,Flipkart,csv_upload,XX,XX,XX,,Default,63110735,,,,,,,,rejected,10/1/2023 0:00,99,INR,4.5,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,Cancelled,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,,4.5,4.5,99,99,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
65af7f9bb052894d6d12fc59,65af7f9bb052894d6d12fc58,4,Flipkart,csv_upload,XX,XX,XX,,Default,63116521,,,,,,,,rejected,10/1/2023 0:00,249,INR,9,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,Cancelled,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,,9,9,249,249,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
65af7fa0b052894d6d12fcfe,65af7fa0b052894d6d12fcfd,4,Flipkart,csv_upload,XX,XX,XX,,Default,63141015,,,,,,,,approved,10/1/2023 0:00,266,INR,7.2,,,,,,,,,0,0,,IN,,,,,,,,,,,sale,Default,Default,,,,,,,,,,,,,0,0,,,,,0,0,,0,,,,,0,,,,,,0,,0,,,,,,,,,99,,Default,10/1/2023 0:00,,,Dushyant Saini,Aditi Kulshrestha,64c233fdc689a82d0941be5a,64faf15ee2fafc6a991aaf18,E-commerce - marketplaces,,Flipkart,,64c232d5afbba1444e727218,No,,1/24/2024 12:25,7.2,7.2,266,266,INR,10/1/2023,0:00:00,XO,Shoogloo,agoyal@flipshope.com
